Series,Episode,Contestant,Result,Final Review,Winner,Eliminated,Technical_Rank
12,4,Sumayah,LOW,-1,,,3.0
12,5,Sumayah,HIGH,1,,,4.0
12,6,Sumayah,SB,1,1,,3.0
12,7,Sumayah,OUT,-1,,1,6.0
12,1,Nelly,SAFE,,,,5.0
12,2,Nelly,SAFE,,,,7.0
12,3,Nelly,HIGH,1,,,1.0
12,4,Nelly,SAFE,,,,6.0
12,5,Nelly,SAFE,,,,3.0
12,6,Nelly,OUT,-1,,1,5.0
12,1,Andy,SAFE,,,,8.0
12,2,Andy,SAFE,,,,10.0
12,3,Andy,LOW,-1,,,3.0
12,4,Andy,SAFE,,,,9.0
12,5,Andy,OUT,-1,,1,7.0
12,1,Mike,SAFE,,,,11.0
12,2,Mike,SAFE,,,,1.0
12,3,Mike,SAFE,,,,6.0
12,4,Mike,OUT,-1,,1,7.0
12,1,John,SB,1,1,,3.0
12,2,John,SAFE,,,,2.0
12,3,John,OUT,-1,,1,9.0
12,1,Hazel,LOW,-1,,,10.0
12,2,Hazel,OUT,-1,,1,5.0
12,1,Jeff,SAFE,,,,
12,2,Jeff,SAFE,,,,
